Tahun;Pasir Besi;Konsentrat Tin;Konsentrat Tembaga
1996;425101;52304;1758910
1997;516403;54521;1817880
1998;509978;53960;2640040
1999;502198;49708;2645180
2000;420418;56360;3270335
2001;440648;69494;2418110
2002;190946;88142;2851190
2003;245911;74316;3238306
2004;79635;73080;2812664
2005;87940;78404;3553808
2006;84954;79100;817796
2007;84371;64127;796899
2008;4455259;79210;655046
2009;4561059;56602;973347
2010;8975507;97796;993152
2011;11814544;89600;1472238
2012;11545752;44202;2265865
2013;22353337;59412;1909548
2014;5951400;51801;1571596
2015;3838546;93180;2282831
