Life expectancy,Adult Mortality,infant deaths,Income composition of resources,Schooling
65,263,62,0.479,10.1
59.9,271,64,0.476,10
59.9,268,66,0.47,9.9
59.5,272,69,0.463,9.8
59.2,275,71,0.454,9.5
58.8,279,74,0.448,9.2
58.6,281,77,0.434,8.9
58.1,287,80,0.433,8.7
57.5,295,82,0.415,8.4
57.3,295,84,0.405,8.1
57.3,291,85,0.396,7.9
57,293,87,0.381,6.8
56.7,295,87,0.373,6.5
56.2,3,88,0.341,6.2
55.3,316,88,0.34,5.9
54.8,321,88,0.338,5.5
77.8,74,0,0.762,14.2
77.5,8,0,0.761,14.2
77.2,84,0,0.759,14.2
76.9,86,0,0.752,14.2
76.6,88,0,0.738,13.3
76.2,91,1,0.725,12.5
76.1,91,1,0.721,12.2
75.3,1,1,0.713,12
75.9,9,1,0.703,11.6
74.2,99,1,0.696,11.4
73.5,15,1,0.685,10.8
73,17,1,0.681,10.9
72.8,18,1,0.674,10.7
73.3,15,1,0.67,10.7
73.6,14,1,0.662,10.6
72.6,11,1,0.656,10.7
75.6,19,21,0.743,14.4
75.4,11,21,0.741,14.4
75.3,112,21,0.737,14.4
75.1,113,21,0.732,14.4
74.9,116,21,0.724,14
74.7,119,21,0.714,13.6
74.4,123,20,0.705,13.1
74.1,126,20,0.697,12.6
73.8,129,20,0.69,12.3
73.4,132,20,0.686,12.3
72.9,136,19,0.68,12
72.3,14,19,0.673,11.7
71.7,146,20,0.663,11.5
71.6,145,20,0.653,11.1
71.4,145,20,0.644,10.9
71.3,145,21,0.636,10.7
52.4,335,66,0.531,11.4
51.7,348,67,0.527,11.4
51.1,355,69,0.523,11.4
56,358,72,0.508,10.3
51,361,75,0.495,9.4
49.6,365,78,0.488,9
49.1,369,81,0.48,8.5
48.7,371,84,0.468,8.1
48.2,375,87,0.454,7.7
47.7,381,90,0.439,7.2
47.4,382,92,0.426,6.8
47.1,386,94,0.415,6.4
46.8,388,95,0.406,5.9
46.5,391,96,0.401,5.5
45.7,44,97,0.391,5.1
45.3,48,97,0.382,4.6
76.4,13,0,0.784,13.9
76.2,131,0,0.782,13.9
76.1,133,0,0.781,13.9
75.9,134,0,0.778,13.8
75.7,136,0,0.782,14.1
