;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
1970;1971;101.0;0.0;UK;25000000.0;;15531;189.0;159.0;0;365.0;338.0;246.0;141.0;1008;6.1;Good
1078;1079;141.0;0.0;USA;45000000.0;100768056.0;59569;89.0;43.0;0;79.0;18000.0;8000.0;956.0;30063;6.5;Good
2495;2496;109.0;0.0;UK;17000000.0;35635046.0;121058;482.0;186.0;3000;248.0;16000.0;988.0;968.0;19410;6.7;Good
2664;2665;103.0;2.0;USA;15000000.0;26161406.0;13874;52.0;81.0;0;20.0;512.0;316.0;125.0;1002;6.7;Good
34;35;104.0;0.0;USA;200000000.0;268488329.0;235025;265.0;376.0;44000;37.0;12000.0;779.0;760.0;14863;7.3;Good
2808;2809;97.0;4.0;UK;;2656324.0;16444;79.0;135.0;2000;11.0;14000.0;1000.0;548.0;16431;6.7;Good
4318;4319;99.0;1.0;UK;2000000.0;;2588;41.0;24.0;205;0.0;766.0;312.0;268.0;1650;6.4;Good
247;248;112.0;;USA;135000000.0;81638674.0;17533;115.0;181.0;12000;13.0;5000.0;833.0;799.0;8306;6.3;Good
2189;2190;111.0;0.0;USA;20000000.0;42652003.0;18915;87.0;61.0;33000;132.0;1000.0;465.0;455.0;2851;6.8;Good
4177;4178;103.0;0.0;USA;2540800.0;;150020;568.0;169.0;0;134.0;804.0;786.0;390.0;2510;8.3;Excellent
3298;3299;119.0;4.0;USA;8500000.0;6047856.0;27536;327.0;117.0;1000;188.0;187.0;127.0;35.0;358;6.7;Good
3346;3347;126.0;0.0;USA;8000000.0;1997807.0;5158;140.0;46.0;196;407.0;638.0;107.0;39.0;823;7.1;Good
2916;2917;130.0;0.0;USA;8000000.0;260000000.0;412454;962.0;385.0;21000;14000.0;813.0;559.0;366.0;2047;8.0;Good
50;51;116.0;2.0;USA;200000000.0;90755643.0;222403;453.0;306.0;23000;179.0;15000.0;567.0;236.0;16149;6.6;Good
3998;3999;105.0;2.0;USA;3500000.0;6390032.0;24977;229.0;127.0;0;386.0;3000.0;258.0;248.0;4238;7.5;Good
4906;4907;95.0;0.0;USA;250000.0;;81;1.0;4.0;47;89.0;471.0;89.0;45.0;705;6.2;Good
3581;3582;120.0;0.0;UK;6000000.0;137963328.0;291603;505.0;120.0;9000;0.0;40000.0;854.0;576.0;42028;8.1;Excellent
2992;2993;104.0;4.0;USA;12000000.0;1779284.0;12047;122.0;78.0;677;0.0;1000.0;165.0;77.0;1292;7.1;Good
1248;1249;106.0;2.0;USA;40000000.0;45500797.0;17443;56.0;25.0;694;323.0;472.0;47.0;0.0;519;6.0;Fair
3202;3203;98.0;0.0;Canada;8000000.0;1641788.0;30096;213.0;157.0;0;0.0;530.0;387.0;258.0;1381;6.8;Good
3387;3388;93.0;2.0;USA;8000000.0;17536788.0;49240;142.0;231.0;12000;132.0;434.0;265.0;216.0;1183;7.1;Good
1314;1315;91.0;8.0;USA;40000000.0;18438149.0;30842;93.0;70.0;0;48.0;61.0;46.0;39.0;222;5.9;Fair
4807;4808;97.0;0.0;Canada;900000.0;;369;5.0;10.0;12;0.0;918.0;100.0;83.0;1163;6.0;Fair
743;744;100.0;1.0;USA;60000000.0;75280058.0;143121;279.0;310.0;10000;253.0;309.0;229.0;57.0;647;7.7;Good
89;90;101.0;1.0;USA;165000000.0;189412677.0;272534;345.0;377.0;40000;66.0;975.0;931.0;833.0;4451;7.8;Good
