Tahun;Emas;Perak;Granit
1996;83564;255404;4827058
1997;86928;249392;8824088
1998;123862;383191;9662649
1999;127768;361377;8720155
2000;109612;310430;5941370
2001;148528;333561;3976274
2002;140246;281903;3975434
2003;138475;272050;3938915
2004;86855;255053;4035040
2005;142894;326993;4302849
2006;138992;270624;4514654
2007;117854;268967;1793440
2008;64390;226051;2050000
2009;140488;359451;0
2010;119726;335040;2172080
2011;68220;227173;3316813
2012;69291;0;0
2013;59804;0;0
2014;69349;0;0
2015;92339;0;0
